Name_EN,Name_CN,LAT,LNG,Address_EN,Address_CN,Province_EN,Province_CN,City_EN,City_CN,Area_EN,Area_CN,Telephone,BuiltYear,BuiltMonth
Kashgar Airport,喀什机场,39.548273,76.033242,"Welcome Avenue in Kashgar City, Kashgar Region",喀什地区喀什市迎宾大道,Xinjiang,新疆维吾尔自治区,Kashgar,喀什地区,Kashi,喀什市,(0998)2926600,1954,3
"Qiandongnan Prefecture Kaili Huangping Airport Co., Ltd",黔东南州凯里黄平机场有限责任公司,26.979052,107.996939,Kelly Huangping Airport in New York Town,新州镇凯里黄平机场,Guizhou,贵州省,Miao and Dong ethnic groups in southeastern Guizhou,黔东南苗族侗族自治州,Huangping,黄平县,,2013,10
Kunming Changshui International Airport,昆明长水国际机场,25.102871,102.935615,"Changshui Village, Guandu District, Kunming City, Yunnan Province",云南省昆明市官渡区长水村,Yunnan,云南省,Kunming,昆明市,Guandu,官渡区,,2012,6
Korla Airport,库尔勒机场,41.625966,86.144576,"Airport Road, Korla City, Bayingoleng Mongolian Autonomous Prefecture",巴音郭楞蒙古自治州库尔勒市机场路,Xinjiang,新疆维吾尔自治区,Bayinguoleng Mongolia Autonomous Prefecture,巴音郭楞蒙古自治州,Korla,库尔勒市,(0996)2364033,1971,10
Karamay Airport,克拉玛依机场,45.473422,84.962771,"No. 55, Baiyun 4th Road, Karamay District, Karamay City",克拉玛依市克拉玛依区白云四路55号,Xinjiang,新疆维吾尔自治区,Karamay,克拉玛依市,Karamay,克拉玛依区,(0990)6931287,2006,4
Liping Airport,黎平机场,26.324465,109.161705,"Airport Road, Gaotun Town, Liping County, Qiandongnan Miao and Dong Autonomous Prefecture",黔东南苗族侗族自治州黎平县高屯镇机场路,Guizhou,贵州省,Miao and Dong ethnic groups in southeastern Guizhou,黔东南苗族侗族自治州,Liping,黎平县,"(0855)6222299,(0855)6328004",2005,11
The city is crowned with Zhishan Airport,连城冠豸山机场,25.678511,116.757832,"No. 288, Lianhang Road, Liancheng County, Longyan City",龙岩市连城县莲航路288号,Fujian,福建省,Longyan,龙岩市,Liancheng,连城县,"(0597)8918820,(0597)8918825",2004,4
Lanzhou Zhongchuan International Airport,兰州中川国际机场,36.519949,103.627343,"Zhongchuan Town, Yongdeng County, Lanzhou City",兰州市永登县中川镇,Gansu,甘肃省,Lanzhou,兰州市,Yongdeng,永登县,,1970,7
Lijiang Sanyi International Airport,丽江三义国际机场,26.677492,100.253107,"Sanyi Village, Qihe Town, Gucheng District, Lijiang City",丽江市古城区七河镇三义村,Yunnan,云南省,Lijiang,丽江市,Gucheng,古城区,"(0888)5173088,(0888)5173081",1995,7
Libo Airport,荔波机场,25.454235,107.973128,"Libo County, Qiannan Buyi and Miao Autonomous Province, Guizhou Province",贵州省黔南布依族苗族自治荔波县,Guizhou,贵州省,Qiannan Buyi,黔南布依族,Libo,荔波县,(0854)3789111,2007,11
Luliang Airport,吕梁机场,37.690443,111.155097,"The north of Dawu Town, Fangshan County, Luliang City, Shanxi Province",山西省吕梁市方山县大武镇北部,Shanxi,山西省,Luliang,吕梁市,Fangshan,方山县,(0358)3711111,2014,1
Lincang Airport,临沧机场,23.741621,100.032306,"Airport Road, Boshang Town, Linxiang District, Lincang City",临沧市临翔区博尚镇机场路,Yunnan,云南省,Lincang,临沧市,Linxiang,临翔区,,2001,3
Moonlight Airport,月照机场,26.611001,104.987637,"The junction of Dam Village, Yuezhao Township, Zhongshan District, Liupanshui City, Guizhou Province, and Dayao Village, Dongdi Township, Shuicheng County",贵州省六盘水市钟山区月照乡大坝村与水城县董地乡大窑村交界处,Guizhou,贵州省,Liupanshui,六盘水市,Zhongshan,钟山区,,2014,11
Lhasa Gongga International Airport,拉萨贡嘎国际机场,29.299495,90.918706,"Yingbin Road, Gongga County, Shannan City",山南市贡嘎县迎宾路,Xizang,西藏自治区,Shannan,山南市,Gongga,贡嘎县,,1966,11
Luoyang Northern Suburbs Airport,洛阳北郊机场,34.745445,112.400418,"Airport Road, Old Town, Luoyang City",洛阳市老城区机场路,Henan,河南省,Luoyang,洛阳市,Laocheng,老城区,(0379)62328666,1987,10
Lianyungang Baitabu Airport,连云港白塔埠机场,34.576383,118.888042,"No. 1 Airport Road, Baitabu Town, Donghai County, Lianyungang City",连云港市东海县白塔埠镇机场公路1号,Jiangsu,江苏省,Lianyungang,连云港市,Donghai,东海县,(0518)85521666,1985,3
Linyi Qiyang International Airport,临沂启阳国际机场,35.054384,118.422814,"No. 1 Airport Road, Hedong District, Linyi City",临沂市河东区机场路1号,Shandong,山东省,Linyi,临沂市,Hedong,河东区,"(0539)9600777,(0539)8082556",1946,1
Liuzhou White Lotus Airport,柳州白莲机场,24.21009,109.404648,"Yingbin Road, Liujiang District, Liuzhou City",柳州市柳江区迎宾路,Guangxi,广西壮族自治区,Liuzhou,柳州市,Liujiang,柳江区,(0772)3201088,1994,12
Yunlong Airport,云龙机场,29.026095,105.472294,No. 94; No. 95; No. 98; No. 101; No. 148 [Airport Line]; No. 926; No. 927; 928 Road; Airport night line; Luxian Road 609,94路;95路;98路;101路;148路[机场线];926路;927路;928路;机场夜班线;泸县609路,Sichuan,四川省,Luzhou,泸州市,Longmatan,龙马潭区,,2018,9
Mudanjiang Wave Airport,牡丹江海浪机场,44.534983,129.582553,"Airport Road, Xi'an District, Mudanjiang City",牡丹江市西安区机场路,Heilongjiang,黑龙江省,Mudanjiang,牡丹江市,Xi'an,西安区,(0453)6651666,1985,9
Meizhou Meixian Airport,梅州梅县机场,24.265613,116.10895,"118 Township Road, Triangle Town, Meijiang District, Meizhou City, Guangdong Province",广东省梅州市梅江区三角镇118乡道,Guangdong,广东省,Meizhou,梅州市,Meijiang,梅江区,(0753)2242666,1987,9
Manzhouli Western Suburbs International Airport,满洲里西郊国际机场,49.576075,117.342273,"Airport Road, Manzhouli City, Hulunbuir City",呼伦贝尔市满洲里市机场路,Neimenggu,内蒙古自治区,Hulunbuir,呼伦贝尔市,Manchuria,满洲里市,(0470)6246114,2005,2
Mohe Gulian Airport,漠河古莲机场,52.924011,122.438628,"Mobei Highway in Mohe City, Daxing'anling Region",大兴安岭地区漠河市漠北公路,Heilongjiang,黑龙江省,Daxinganling,大兴安岭地区,Mohe,漠河市,(0457)2889805,2008,6
Nanchang Changbei International Airport,南昌昌北国际机场,28.865286,115.919301,"Lehua Town, Xinjian District, Nanchang City",南昌市新建区乐化镇,Jiangxi,江西省,Nanchang,南昌市,Xinjian,新建区,(0791)87652369,1999,9
Nangan Air Station,南竿航空站,26.160718,119.966023,Nangan Sea Line; Nangan Sea Line Airport Branch Line; Nangan Mountain Line,南竿海线;南竿海线机场支线;南竿山线,Fujian,福建省,Fuzhou,福州市,Lianjiang,连江县,,2003,1
Nyingchi Milin Airport,林芝米林机场,29.308075,94.342603,Nyingchi District Nyingchi District Milin County Milin County Provincial Highway 306,林芝地区林芝市米林县306省道,Xizang,西藏自治区,Linzhi,林芝市,Millin,米林县,,2006,9
Nanchong Gaoping Airport,南充高坪机场,30.800518,106.174552,"Airport Road, Gaoping District, Nanchong City",南充市高坪区机场路,Sichuan,四川省,Nanchong,南充市,Gaoping,高坪区,(0817)3317365,2004,8
Ningbo Lishe International Airport,宁波栎社国际机场,29.824459,121.473019,"Aviation Road, Yinzhou District, Ningbo City",宁波市鄞州区航空路,Zhejiang,浙江省,Ningbo,宁波市,Yinzhou,鄞州区,(0574)81899000,1990,6
Nanjing Lukou International Airport,南京禄口国际机场,31.73622,118.88205,"South Airport Road, Lukou Town, Jiangning District, Nanjing City",南京市江宁区禄口镇空港南路,Jiangsu,江苏省,Nanjing,南京市,Jiangning,江宁区,,1997,7
Ninglang Lugu Lake Airport,宁蒗泸沽湖机场,27.544337,100.768103,"Shifoshan, Ninglang Yi Autonomous County, Lijiang City, Yunnan Province",云南省丽江市宁蒗彝族自治县石佛山,Yunnan,云南省,Lijiang,丽江市,Ninglang Yi Autonomous Prefecture,宁蒗彝族自治县,,2015,10
Nanning Wuxu International Airport,南宁吴圩国际机场,22.613702,108.190932,"National Highway 322, Wuxu Town, Jiangnan District, Nanning City",南宁市江南区吴圩镇322国道,Guangxi,广西壮族自治区,Nanning,南宁市,Jiangnan,江南区,(0771)2881111,1962,11
Nanyang Jiangying Airport,南阳姜营机场,32.986745,112.628951,"East of Guangwu Bridge, Wancheng District, Nanyang City",南阳市宛城区光武大桥东,Henan,河南省,Nanyang,南阳市,Wancheng,宛城区,"(0377)63801345,(0377)62232053",1992,10
Nantong Xingdong International Airport,南通兴东国际机场,32.079356,120.990355,"No. 1 Airport Avenue, Xingdong Town, Tongzhou District, Nantong City",南通市通州区兴东镇机场大道1号,Jiangsu,江苏省,Nantong,南通市,Tongzhou,通州区,(0513)86560050,1993,8
Ordos Yijinholo International Airport,鄂尔多斯伊金霍洛国际机场,39.502016,109.873094,Ordos City Yijin Hollow Banner A Da Highway,鄂尔多斯市伊金霍洛旗阿大公路,Neimenggu,内蒙古自治区,Ordos,鄂尔多斯市,Ikin Hollow,伊金霍洛旗,(0477)8901111,2007,7
Pu'er Simao Airport,普洱思茅机场,22.796832,100.966827,"Siting Road, Simao District, Pu'er City",普洱市思茅区思亭路,Yunnan,云南省,Pu'er,普洱市,Simao,思茅区,,1961,3
Magong Airport,马公机场,23.567742,119.638924,"88593 No. 126-5, Aimen Village, Huxi Township, Penghu County, Taiwan Province",88593台湾省澎湖县湖西乡隘门村126-5号,Taiwan,台湾省,Penghu,澎湖县,Huxi Township,湖西乡,886-6-9229123,1957,0
Panzhihua Security Camp Airport,攀枝花保安营机场,26.542197,101.806017,"Airport Road, Renhe District, Panzhihua City",攀枝花市仁和区机场路,Sichuan,四川省,Panzhihua,攀枝花市,Renghe,仁和区,(0812)6639125,2003,12
Changdu Bangda Airport,昌都邦达机场,30.554593,97.117894,"Yiqing Township, Basu County, Changdu City",昌都市八宿县益青乡,Xizang,西藏自治区,Chamdo,昌都市,Basu,八宿县,,1994,10
Qingdao Liuting International Airport,青岛流亭国际机场,36.273127,120.392419,"No. 99, Minhang Road, Chengyang District, Qingdao City",青岛市城阳区民航路99号,Shandong,山东省,Qingdao,青岛市,Chengyang,城阳区,,1944,0
Nanchang Changbei International Airport,南昌昌北国际机场,28.865286,115.919301,"Lehua Town, Xinjian District, Nanchang City",南昌市新建区乐化镇,Jiangxi,江西省,Nanchang,南昌市,Xinjian,新建区,(0791)87652369,1999,9
And the end of the airport,且末机场,38.243821,85.47454,"Qimu County, Bag Airik Township, Qigai Kashgar Village",且末县巴格艾日克乡其盖喀什村,Xinjiang,新疆维吾尔自治区,Bayinguoleng Mongolia Autonomous Prefecture,巴音郭楞蒙古自治州,Qiemo,且末县,,1979,6
Qingyang Xibeng Airport,庆阳西峰机场,35.808598,107.610587,"Qinglan Expressway, Pengyuan Township, Xifeng District, Qingyang City",庆阳市西峰区彭原乡青兰高速,Gansu,甘肃省,Qingyang,庆阳市,Xifeng,西峰区,,1977,10
Qianjiang Wulingshan Airport,黔江武陵山机场,29.517508,108.842114,"Airport Road, Qianjiang District, Chongqing",重庆市黔江区机场路,Chongqing,重庆市,Chongqing,重庆市,Qianjiang,黔江区,(023)79850777,2010,5
Quanzhou Jinjiang International Airport,泉州晋江国际机场,24.800826,118.599816,"No. 118, Heping Middle Road, Jinjiang City, Quanzhou City",泉州市晋江市和平中路118号,Fujian,福建省,Quanzhou,泉州市,Jinjiang,晋江市,(0595)85628988,1996,12
Quzhou Civil Aviation Station,衢州民航站,28.968572,118.907914,"Quzhou Civil Aviation Station, Civil Aviation Avenue, Kecheng District, Quzhou City, Zhejiang Province",浙江省衢州市柯城区民航大道衢州民航站,Zhejiang,浙江省,Quzhou,衢州市,Kecheng,柯城区,(0570)8870966,1993,11
Qiqihar Sanjiazi Airport,齐齐哈尔三家子机场,47.248682,123.931204,"Bukuinan Street, Longsha District, Qiqihar City",齐齐哈尔市龙沙区卜奎南大街,Heilongjiang,黑龙江省,Qiqihar,齐齐哈尔市,Longsha,龙沙区,(0452)2393727,1987,12
Shigatse Peace Airport,日喀则和平机场,29.354936,89.321163,"The north side of National Highway 318, Sangzhuzi District, Shigatse City",日喀则市桑珠孜区318国道北侧,Xizang,西藏自治区,Shigatse,日喀则市,Sangzhuzi,桑珠孜区,,2010,10
Shanghai Hongqiao International Airport,上海虹桥国际机场,31.203347,121.346817,"No. 2550 Hongqiao Road, Changning District, Shanghai",上海市长宁区虹桥路2550号,Shanghai,上海市,Shanghai,上海市,Changning,长宁区,,1929,0
Shihezi Garden Airport,石河子花园机场,44.27,85.94,"County Road 891 in Shawan County, Tacheng District",塔城地区沙湾县891县道,Xinjiang,新疆维吾尔自治区,Shihezi,石河子,Tacheng,塔城地区,,2015,12
Shenyang Taoxian International Airport,沈阳桃仙国际机场,41.639078,123.499721,"Airport Road, Taoxian Town, Hunnan District, Shenyang City",沈阳市浑南区桃仙镇机场路,Liaoning,辽宁省,Shenyang,沈阳市,Hunnan,浑南区,,1989,4
Shijiazhuang Zhengding International Airport,石家庄正定国际机场,38.287385,114.703893,"Yingbin Road, Zhengding County, Shijiazhuang City",石家庄市正定县迎宾路,Hebei,河北省,Shijiazhuang,石家庄市,Zhengding,正定县,,1995,2
Shangrao Sanqingshan Airport,上饶三清山机场,28.382737,117.97499,Intersection of Shangrao Avenue and G320,上饶大道与G320交叉口,Jiangxi,江西省,Shangrao,上饶市,Xinzhou,信州区,(0793)8089799,2017,5
Sanya Phoenix International Airport (Sanya Phoenix International Airport),三亚凤凰国际机场(三亚市凤凰国际机场),18.309499,109.421115,"Phoenix Road, Tianya District, Sanya City",三亚市天涯区凤凰路,Hainan,海南省,Sanya,三亚市,Tianya,天涯区,(0898)88289390,1994,7
Shenzhen Bao'an International Airport,深圳宝安国际机场,22.638172,113.821705,"Bao'an Avenue, Bao'an District, Shenzhen",深圳市宝安区宝安大道,Guangdong,广东省,Shenzhen,深圳市,Bao'an,宝安区,(0755)23456789,1991,10
Shennongjia Hongping Airport,神农架红坪机场,31.630287,110.352567,Shennongjia Forest Area in Hubei Province,湖北省神农架林区,Hubei,湖北省,Shennongjia,神农架林区,,,(0719)3312187,2014,5
Jinshan Branch Water Security Police Station,金山分局水上治安派出所,30.898248,121.173266,"No. 520, Linkang Street, Zhujing Town, Jinshan District, Shanghai",上海市金山区朱泾镇临仓街520号,Shanghai,上海市,Shanghai,上海市,Jinshan,金山区,(021)57311110,,
Shanghai Pudong International Airport,上海浦东国际机场,31.157478,121.81509,"No. 6000 Yingbin Avenue, Pudong New Area, Shanghai",上海市浦东新区迎宾大道6000号,Shanghai,上海市,Shanghai,上海市,Pudong New,浦东新区,,1999,9
Tengchong Hump Airport,腾冲驼峰机场,24.941652,98.492839,"Airport Road, Qingshui Township, Tengchong City, Baoshan City",保山市腾冲市清水乡机场路,Yunnan,云南省,Baoshan,保山市,Tengchong,腾冲市,(0875)5198866,2009,2
Tongren Phoenix Airport,铜仁凤凰机场,27.887394,109.320129,"Binjiang Avenue, Daxing Town, Tongren City",铜仁市大兴镇滨江大道,Guizhou,贵州省,Tongren,铜仁市,Song Tao Miao Autonomous Prefecture,松桃苗族自治县,,1972,0
Tongliao Airport,通辽机场,43.565149,122.212549,"Civil Aviation Road, Horqin District, Tongliao City",通辽市科尔沁区民航路,Neimenggu,内蒙古自治区,Tongliao,通辽市,Horqin,科尔沁区,(0475)8501677,1958,0
Tianshui Airport,天水机场,34.564259,105.870449,"Twenty miles of Puhuaniu Village, Maiji District, Tianshui City",天水市麦积区二十里铺花牛村,Gansu,甘肃省,Tianshui,天水市,Maiji,麦积区,(0938)2652000,2008,9
Turpan Jiaohe Airport,吐鲁番交河机场,43.037286,89.109122,"West side of Provincial Highway 202, Gaochang District, Turpan City",吐鲁番市高昌区202省道西侧,Xinjiang,新疆维吾尔自治区,Turpan,吐鲁番市,Gaochang,高昌区,,2010,7
Jilin Civil Aviation Airport Group Tonghua Airport Company,吉林省民航机场集团通化机场公司,42.061091,125.756784,Sanwonpo Korean town,三源浦朝鲜族镇,Jilin,吉林省,Tonghua,通化市,Liuhe,柳河县,,2014,6
Taiwan Taoyuan International Airport,台湾桃园国际机场,25.082739,121.244712,"No. 9, South Terminal Road, Dayuan District, Taoyuan City, Taiwan Province",台湾省桃园市大园区航站南路9号,Taiwan,台湾省,Taoyuan,桃园市,Dayuanxiang,大园乡,886-3-3983728,1979,2
Taipei Songshan Airport (TSA),台北松山机场 (TSA),25.071018,121.562917,"No. 340-9, Dunhua North Road, Songshan District, Taipei City, Taiwan Province, 10548",10548台湾省台北市松山区敦化北路340-9号,Taiwan,台湾省,Taipei,台北市,Songshan,松山区,886-2-87703460,1936,4
Tianjin Binhai International Airport,天津滨海国际机场,39.133514,117.371645,"No. 1 Airport Avenue, Dongli District, Tianjin",天津市东丽区机场大道1号,Tianjin,天津市,Tianjin,天津市,Dongli,东丽区,,1950,8
Taitung Airport,台东机场,22.758264,121.110923,"950 No. 1100, Taitung Civil Aviation Road, Taitung County, Taiwan Province",950台湾省台东县台东民航路1100号,Taiwan,台湾省,Taidong,台东县,Taidong,台东市,886-8-9361111,1981,10
Tangshan Sannuhe Airport,唐山三女河机场,39.725946,118.01368,"Airport Road, Shigezhuang Town, Fengrun District, Tangshan City",唐山市丰润区石各庄镇机场路,Hebei,河北省,Tangshan,唐山市,Fengrun,丰润区,(0315)2521111,2010,7
Yaocheng Airport,尧城机场,37.508526,112.433499,910 Route; 911 route,910路;911路,Shanxi,山西省,Taiyuan,太原市,Qingxu,清徐县,,,
Taiyuan Wusu International Airport,太原武宿国际机场,37.760044,112.640865,"Taiyu Road, Xiaodian District, Taiyuan City",太原市小店区太榆路,Shanxi,山西省,Taiyuan,太原市,Xiaodian,小店区,(0351)7286462,1939,0
Taizhou Luqiao Airport,台州路桥机场,28.56518,121.437627,"No. 1, East Yingbin Avenue, Luqiao District, Taizhou City, Zhejiang Province",浙江省台州市路桥区东迎宾大道1号,Zhejiang,浙江省,Taizhou,台州市,Luqiao,路桥区,(0576)82512922,1987,0
Taichung Qingquangang Airport,台中清泉岗机场,24.267128,120.63404,"433 No. 168, Section 1, Zhonghang Road, Shalu District, Taichung City, Taiwan Province",433台湾省台中市沙鹿区中航路ㄧ段168号,Taiwan,台湾省,Taichung,台中市,Qingshui,清水区,886-4-26155000,2004,3
Urumqi Diwopu International Airport,乌鲁木齐地窝堡国际机场,43.912386,87.487028,"Yingbin Road, New Urban Area, Urumqi City, Xinjiang Uygur Autonomous Region",新疆维吾尔自治区乌鲁木齐市新市区迎宾路,Xinjiang,新疆维吾尔自治区,Urumqi,乌鲁木齐市,Xinshi,新市区,,1939,0
Ulanhot Airport,乌兰浩特机场,46.204034,122.015998,"Airport Road, Yilerite Town, Xing'an League, Inner Mongolia Autonomous Region",内蒙古自治区兴安盟义勒力特镇机场路,Neimenggu,内蒙古自治区,Xing'an Meng,兴安盟,Ulanhot,乌兰浩特市,"(0482)8682000,(0482)3982000",1995,4
Weifang Airport,潍坊机场,36.652396,119.129077,"No. 1 Airport Road, Kuiwen District, Weifang City",潍坊市奎文区机场路1号,Shandong,山东省,Weifang,潍坊市,Kuiwen,奎文区,(0536)8520568,1996,4
Weihai Dashuibo International Airport,威海大水泊国际机场,37.191291,122.241853,"County Road 01, Dashuibo Town, Wendeng District, Weihai City",威海市文登区大水泊镇01县道,Shandong,山东省,Weihai,威海市,Wendeng,文登区,,1988,7
Wenshan Puzhehei Airport,文山普者黑机场,23.562515,104.334934,"Civil Aviation Road, Yanshan County, Wenshan City, Yunnan Province",云南省文山市砚山县民航路,Yunnan,云南省,Wenshan Zhuang and Miao Autonomous Prefecture,文山壮族苗族自治州,Wenshan,文山市,(0876)3896069,2006,8
Wenzhou Longwan International Airport,温州龙湾国际机场,27.913373,120.859934,"No. 1 Airport Avenue, Longwan District, Wenzhou City",温州市龙湾区机场大道1号,Zhejiang,浙江省,Wenzhou,温州市,Long Bay,龙湾区,,1990,7
Chongqing Wushan Airport,重庆巫山机场,31.070475,109.716095,"Jinpen Temple, Quchi Township, Wushan County, Chongqing City",重庆市巫山县曲尺乡金盆寺,Chongqing,重庆市,Chongqing,重庆市,Wushan,巫山县,,2019,8
Wuhai Airport,乌海机场,39.800408,106.811088,"Airport Road, Haibo Bay District, Wuhai City",乌海市海勃湾区机场路,Neimenggu,内蒙古自治区,Wuhai,乌海市,Haibowan,海勃湾区,"(0473)2996823,(0473)2996888",2003,12
Wuhan Tianhe International Airport,武汉天河国际机场,30.776258,114.217379,"Airport Avenue, Huangpi District, Wuhan City",武汉市黄陂区机场大道,Hubei,湖北省,Wuhan,武汉市,Huangpi,黄陂区,,1995,4
Wuyishan Airport,武夷山机场,27.703653,118.01114,"Wuyi Avenue, Wuyishan City, Nanping City",南平市武夷山市武夷大道,Fujian,福建省,Nanping,南平市,Wuyishan,武夷山市,(0599)5118063,1994,1
Sunan Shuofang International Airport,苏南硕放国际机场,31.508856,120.440156,"No. 1 Airport Road, Xinwu District, Wuxi City",无锡市新吴区机场路1号,Jiangsu,江苏省,Wuxi,无锡市,Xinwu,新吴区,(0510)96889788,2004,2
Xijiang Airport,西江机场,23.403842,111.11466,Xijiang Airport Express Line,西江机场快捷专线,Guangxi,广西壮族自治区,Wuzhou,梧州市,,,,2019,1
Wanzhou Wuqiao Airport,万州五桥机场,30.806096,108.442317,"Airport Road, Wanzhou District, Chongqing",重庆市万州区机场路,Chongqing,重庆市,Chongqing,重庆市,Wanzhou,万州区,(023)58538035,2003,5
"Hubei Zhongnan General Aviation Airport Management Co., Ltd",湖北中南通航机场管理有限公司,30.46582,114.255146,"20th floor, Building 23A, Yinhu SME City, Qingling Township, Hongshan District, Wuhan City, Hubei Province",湖北省武汉市洪山区青菱乡银湖中小企业城23A栋20层,Hubei,湖北省,Wuhan,武汉市,Hongshan,洪山区,(027)88321618,,
Fuyang Xiguan Airport,阜阳西关机场,32.884966,115.747322,"Airport Road, Yingzhou District, Fuyang City",阜阳市颍州区机场路,Anhui,安徽省,Fuyang,阜阳市,Yingzhou,颍州区,,1998,12
Wutaishan Airport,五台山机场,38.603102,112.995926,Wutai Mountain Airport Bus Wutai Mountain Scenic Area Line,五台山机场巴士五台山景区线,Shanxi,山西省,Xinzhou,忻州市,Dingxiang,定襄县,,2015,12
Xiangyang Liuji Airport,襄阳刘集机场,32.155395,112.30274,"The intersection of Airport Road and 048 Township Road in Liuji Town, Xiangzhou District, Xiangyang City",襄阳市襄州区刘集镇机场路与048乡道交叉口,Hubei,湖北省,Xiangyang,襄阳市,Xiangzhou,襄州区,,1989,12
Xichang Qingshan Airport,西昌青山机场,27.989103,102.193525,"Airport Road, Anning Town, Xichang City, Liangshan Yi Autonomous Prefecture",凉山彝族自治州西昌市安宁镇机场路,Sichuan,四川省,Liangshan Yi Autonomous Prefecture,凉山彝族自治州,Xichang,西昌市,(0834)2586653,1975,5
Xilinhot Airport,锡林浩特机场,43.920368,115.972721,"Airport Road in Xilinhot City, Xilin Gol League",锡林郭勒盟锡林浩特市机场路,Neimenggu,内蒙古自治区,Xilingol Meng,锡林郭勒盟,Xilinhot,锡林浩特市,(0479)8200935,1958,10
Xi'an Xianyang International Airport,西安咸阳国际机场,34.442079,108.768576,"Dizhang Town, Weicheng District, Xianyang City, Shaanxi Province",陕西省咸阳市渭城区底张镇,Shaanxi,陕西省,Xianyang,咸阳市,Weicheng,渭城区,,1991,9
Xiamen Gaoqi International Airport,厦门高崎国际机场,24.545038,118.143639,"Xiangyun 1st Road, Huli District, Xiamen City",厦门市湖里区翔云一路,Fujian,福建省,Xiamen,厦门市,Lake,湖里区,(0592)5706078,1983,10
Xining Caojiabao International Airport,西宁曹家堡国际机场,36.53521,102.046712,"G0612, Mutual Aid Tu Autonomous County, Haidong City, Qinghai Province",青海省海东市互助土族自治县G0612,Qinghai,青海省,Haidong,海东市,Mutual assistance to the Turks,互助土族自治县,,1991,12
Dalian Zhoushuizi International Airport,大连周水子国际机场,38.969369,121.549576,"No. 100, Yingke Road, Ganjingzi District, Dalian City",大连市甘井子区迎客路100号,Liaoning,辽宁省,Dalian,大连市,Sweet well,甘井子区,(0411)83886699,1972,10
Xuzhou Guanyin International Airport,徐州观音国际机场,34.06106,117.568685,"National Highway 104, Shuanggou Town, Suining County, Xuzhou City",徐州市睢宁县双沟镇104国道,Jiangsu,江苏省,Xuzhou,徐州市,Suining,睢宁县,(0516)83068113,1997,11
Gannan Xiahe Airport,甘南夏河机场,34.82892,102.628659,"Near Kusai Pond, Xiahe County, Gannan Prefecture",甘南州夏河县库赛塘附近,Gansu,甘肃省,Gannan,甘南州,Xiahe,夏河县,,2013,8
Xishuangbanna Gasa International Airport,西双版纳嘎洒国际机场,21.977896,100.770921,"Airport Highway in Jinghong City, Xishuangbanna Dai Autonomous Prefecture",西双版纳傣族自治州景洪市机场公路,Yunnan,云南省,Xishuangbanna Dai Autonomous Prefecture,西双版纳傣族自治州,Jinghong,景洪市,(0691)2159130,1990,4
New source Nalati Airport,新源那拉提机场,43.439229,83.387829,"County Road 745, Xinyuan County, Ili Kazakh Autonomous Prefecture",伊犁哈萨克自治州新源县745县道,Xinjiang,新疆维吾尔自治区,Ili Kazakhstan Autonomous Prefecture,伊犁哈萨克自治州,Xinyuan,新源县,,2006,7
Xingyi Airport,兴义机场,25.088247,104.968744,Civil Aviation Avenue,民航大道,Guizhou,贵州省,Qianxinan Buyei and Miao Autonomous Prefecture,黔西南布依族苗族自治州,Xingyi,兴义市,,2004,7
Yulin Yuyang Airport,榆林榆阳机场,38.363488,109.606145,"Airport Road, Yuyang District, Yulin City",榆林市榆阳区机场路,Shaanxi,陕西省,Yulin,榆林市,Yuyang,榆阳区,(0912)3861864,2008,4
Nanniwan Airport,南泥湾机场,36.485398,109.47758,"Shangjiagou Nanniwan Airport, Baota District, Yan'an City, Shaanxi Province",陕西省延安市宝塔区尚家沟南泥湾机场,Shaanxi,陕西省,Yan'an,延安市,Baota,宝塔区,,2018,11
Yibin Wuliangye Airport,宜宾五粮液机场,28.85178,104.53869,Airport special line K03 Road,机场专线k03路,Sichuan,四川省,Yibin,宜宾市,Cuiping,翠屏区,,2019,12
"Ningxia Yiyang General Aviation Co., Ltd",宁夏翼扬通用航空有限公司,37.861156,107.430695,Provincial Highway 304 Yanchi General Airport,304省道盐池通用机场,Ningxia,宁夏回族自治区,Wuzhong,吴忠市,Yanchi,盐池县,,,
Yuncheng Guangong Airport,运城关公机场,35.118879,111.048473,"No. 1, Guangong West Street, Zhangxiao Village, Taocun Town, Salt Lake District, Yuncheng City",运城市盐湖区陶村镇张孝村关公西街1号,Shanxi,山西省,Yuncheng,运城市,Yanhu,盐湖区,(0359)2598158,2005,2
Mingyueshan Airport,明月山机场,27.803041,114.322382,No. 19; No. 19/K19; Airport line,19路;19路/k19路;机场专线,Jiangxi,江西省,Yichun,宜春市,Yuanzhou,袁州区,,2013,6
Yichang Three Gorges Airport,宜昌三峡机场,30.559083,111.492196,"Airport Road, Xiaoting District, Yichang City",宜昌市猇亭区机场路,Hubei,湖北省,Yichang,宜昌市,Xiaoting,猇亭区,(0717)6532114,1996,12
Yining Airport,伊宁机场,43.963204,81.338952,"No. 273 Airport Road, Yining City, Ili Kazakh Autonomous Prefecture, Xinjiang Uygur Autonomous Region",新疆维吾尔自治区伊犁哈萨克自治州伊宁市飞机场路273号,Xinjiang,新疆维吾尔自治区,Ili Kazakhstan,伊犁哈萨克自治州,Yining,伊宁市,(0999)8222262,1936,0
Yiwu Airport,义乌机场,29.347964,120.042377,"No. 201, Yiwu Civil Aviation Road, Jinhua City",金华市义乌市民航路201号,Zhejiang,浙江省,Jinhua,金华市,Yiwu,义乌市,(0579)85669090,1991,4
